date,doy,electron_activity,proton_activity,flare,cme,missing_data,missing_pct,units
2018-03-24,83,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-25,84,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-03-26,85,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-27,86,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-28,87,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-29,88,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-30,89,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-03-31,90,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-01,91,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-02,92,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-03,93,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-04,94,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-05,95,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-06,96,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-07,97,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-08,98,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-09,99,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-10,100,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-11,101,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-12,102,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-13,103,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-14,104,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-15,105,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-16,106,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-17,107,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-18,108,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-19,109,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-20,110,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-21,111,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-22,112,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-23,113,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-24,114,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-04-25,115,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-26,116,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-27,117,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-28,118,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-29,119,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-04-30,120,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-01,121,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-02,122,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-03,123,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-04,124,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-05,125,Low,Low,No,No,No,0,particles/sq cm.sec.sr
2018-05-06,126,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-07,127,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-08,128,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-09,129,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-10,130,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-11,131,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-12,132,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-13,133,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-14,134,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-15,135,High,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-16,136,Medium,Medium,No,No,No,0,particles/sq cm.sec.sr
2018-05-17,137,Low,Low,No,No,No,0,particles/sq cm.sec.sr
